"archivo","bytes","sha256","estado","origenes"
"Microsoft.AspNetCore.Authentication.dll","153384","73104deede0ab682e457e393832a9ed0fe25153349c974961f5a370f2ae2ad14","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authentication.dll"
"Microsoft.AspNetCore.Authentication.OAuth.dll","100136","736a5cbde674eae6973cfb12ec02d5bdbeddfeb9fd6fa4f544a8da495563e77a","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authentication.OAuth.dll"
"Microsoft.AspNetCore.Authorization.dll","116520","b41d6f875d0b1a99179fa65a1c5f92b2d2066047e681706b65906c2dbc23f413","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authorization.dll"
"Microsoft.AspNetCore.Authorization.Policy.dll","75600","4a32fa113253f5d6e999ee96a59e2d147cf712c6a3cab29622f7adcb3da64f40","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Authorization.Policy.dll"
"Microsoft.AspNetCore.Components.Authorization.dll","63312","650717382403fe55378ee0062f40b5d9b093daaea4c398cdfac92b3ef2bc669d","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Components.Authorization.dll"
"Microsoft.AspNetCore.Components.dll","952104","2030bb3a0d8d8fb76084ad4dbc3e31f372078d8111dd1fec6ae9c0ce23c583d7","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Components.dll"
"Microsoft.AspNetCore.Components.Endpoints.dll","706384","6484fdff68008ed2841a6b9f769c6fdb31aee77734131907007e6d601e3795bc","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Components.Endpoints.dll"
"Microsoft.AspNetCore.Components.Forms.dll","104232","d722a16bf0053741129ec60697b0b7502a178e0d01ccbe98c252046b189e18eb","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Components.Forms.dll"
"Microsoft.AspNetCore.Components.Server.dll","927528","47bf8fb986982ac477ca6b4782d1ffd11a9c83294fce9fd9cd4e1d70b53120b7","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Components.Server.dll"
"Microsoft.AspNetCore.Components.Web.dll","423720","c7bfc2c74881b23586c743b7c9963a7bd69906b6d79d52525f2b3ac2fed382db","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Components.Web.dll"
"Microsoft.AspNetCore.Connections.Abstractions.dll","71464","50e62c202b6eef678f763d0a96588a1ae4f8040594c06e9934992518bea63eb1","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Connections.Abstractions.dll"
"Microsoft.AspNetCore.CookiePolicy.dll","55080","ae4ad095bc6d74b4441c06c17d7b59ad21efb540f84452a15eaa6dc8d8ba82f3","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.CookiePolicy.dll"
"Microsoft.AspNetCore.Cors.dll","91944","9fb130ef9b9ea9101a2dec73bdc518add30a1d8e7d8a5d6d2596a6e18e7ec1b8","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Cors.dll"
"Microsoft.AspNetCore.Cryptography.Internal.dll","108328","c9502c62d7f045da855d64acecabd0dd079869ec6323384468b831e33b13df82","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Cryptography.Internal.dll"
"Microsoft.AspNetCore.Cryptography.KeyDerivation.dll","46888","35beb19fa0106cd99f884fd80fb972cc3cbd02a8cef67b3cb1bb67c61a765e29","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Cryptography.KeyDerivation.dll"
"Microsoft.AspNetCore.DataProtection.Abstractions.dll","50984","3ee8801c29a292734945b38dcdb8a2e4483a5bbe4f74545093830ab55c843c0e","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.DataProtection.Abstractions.dll"
"Microsoft.AspNetCore.DataProtection.dll","456488","913e251bcea27044f76c39be087f03721346a13d44dcf4a1dc34a19c22ae28fe","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.DataProtection.dll"
"Microsoft.AspNetCore.DataProtection.Extensions.dll","46928","a66d9b8ef346ef2652200f81a3565154c3bba1875d5f9ffc9fa15d4ae1c36cbb","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.DataProtection.Extensions.dll"
"Microsoft.AspNetCore.Diagnostics.Abstractions.dll","34640","979242dcd88eeed2d08743cfb8af8fa9fa352033d3475079d7fd49f095fadd1b","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Diagnostics.Abstractions.dll"
"Microsoft.AspNetCore.Diagnostics.dll","464680","de3248d54fee1e2873b3a2571a4b08b36c60805bb6eef976199b34ce636c9639","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Diagnostics.dll"
"Microsoft.AspNetCore.Diagnostics.HealthChecks.dll","50984","4f2af7ac899a7721425746ff8ffb08e91eedb6d9de67c779d2220597dc4844c2","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.Diagnostics.HealthChecks.dll"
"Microsoft.AspNetCore.dll","116520","3bfd8a9ad4aa79e4cf809fab1cf133e0ceb43c89e80dc6eff47405f27cbf779f","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.dll"
"Microsoft.AspNetCore.HostFiltering.dll","51024","f611ece92c3026f3a4c1d18024c0fa704db9718946c441003535bcd5e3dc1b74","HASH COINCIDE; REVISION PENDIENTE","Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12:runtimes/win-x64/lib/net10.0/Microsoft.AspNetCore.HostFiltering.dll"
