"ecosystem","component","version","usage","complete","without_informix","license","evidence","source","decision","note"
"NuGet","IKVM.ByteCode","9.3.0","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","MIT","NuGet:IKVM.ByteCode/9.3.0/LICENSE","https://www.nuget.org/packages/IKVM.ByteCode/9.3.0","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.linux-arm","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.linux-arm/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.linux-arm/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.linux-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.linux-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.linux-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.linux-musl-arm","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.linux-musl-arm/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.linux-musl-arm/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.linux-musl-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.linux-musl-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.linux-musl-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.linux-musl-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.linux-musl-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.linux-musl-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.linux-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.linux-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.linux-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.osx-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.osx-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.osx-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.osx-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.osx-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.osx-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.win-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.win-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.win-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
